Id,Name
-1,Unknown
1,Automotive
2,Auto Body Styles
3,Commercial Trucks
4,Sedan
5,Station Wagon
6,SUV
7,Van
8,Convertible
9,Coupe
10,Crossover
11,Hatchback
12,Microcar
13,Minivan
14,Off-Road Vehicles
15,Pickup Trucks
16,Auto Type
17,Budget Cars
18,Certified Pre-Owned Cars
19,Classic Cars
20,Concept Cars
21,Driverless Cars
22,Green Vehicles
23,Luxury Cars
24,Performance Cars
25,Car Culture
26,Dash Cam Videos
27,Motorcycles
28,Road-Side Assistance
29,Scooters
30,Auto Buying and Selling
31,Auto Insurance
32,Auto Parts
33,Auto Recalls
34,Auto Repair
35,Auto Safety
36,Auto Shows
37,Auto Technology
38,Auto Infotainment Technologies
39,Auto Navigation Systems
40,Auto Safety Technologies
41,Auto Rentals
42,Books and Literature
43,Art and Photography Books
44,Biographies
45,Children's Literature
46,Comics and Graphic Novels
47,Cookbooks
48,Fiction
49,Poetry
50,Travel Books
51,Young Adult Literature
52,Business and Finance
53,Business
54,Business Accounting & Finance
55,Human Resources
56,Large Business
57,Logistics
58,Marketing and Advertising
59,Sales
60,Small and Medium-sized Business
61,Startups
62,Business Administration
63,Business Banking & Finance
64,Angel Investment
65,Bankruptcy
66,Business Loans
67,Debt Factoring & Invoice Discounting
68,Mergers and Acquisitions
69,Private Equity
70,Sale & Lease Back
71,Venture Capital
72,Business I.T.
73,Business Operations
74,Consumer Issues
75,Recalls
76,Executive Leadership & Management
77,Government Business
78,Green Solutions
79,Business Utilities
80,Economy
81,Commodities
82,Currencies
83,Financial Crisis
84,Financial Reform
85,Financial Regulation
86,Gasoline Prices
87,Housing Market
88,Interest Rates
89,Job Market
90,Industries
91,Advertising Industry
92,Education industry
93,Entertainment Industry
94,Environmental Services Industry
95,Financial Industry
96,Food Industry
97,Healthcare Industry
98,Hospitality Industry
99,Information Services Industry
100,Legal Services Industry
101,Logistics and Transportation Industry
102,Agriculture
103,Management Consulting Industry
104,Manufacturing Industry
105,Mechanical and Industrial Engineering Industry
106,Media Industry
107,Metals Industry
108,Non-Profit Organizations
109,Pharmaceutical Industry
110,Power and Energy Industry
111,Publishing Industry
112,Real Estate Industry
113,Apparel Industry
114,Retail Industry
115,Technology Industry
116,Telecommunications Industry
117,Automotive Industry
118,Aviation Industry
119,Biotech and Biomedical Industry
120,Civil Engineering Industry
121,Construction Industry
122,Defense Industry
123,Careers
124,Apprenticeships
125,Career Advice
126,Career Planning
127,Job Search
128,Job Fairs
129,Resume Writing and Advice
130,Remote Working
131,Vocational Training
132,Education
133,Adult Education
134,Private School
135,Secondary Education
136,Special Education
137,College Education
138,College Planning
139,Postgraduate Education
140,Professional School
141,Undergraduate Education
142,Early Childhood Education
143,Educational Assessment
144,Standardized Testing
145,Homeschooling
146,Homework and Study
147,Language Learning
148,Online Education
149,Primary Education
150,Events and Attractions
151,Amusement and Theme Parks
152,Fashion Events
153,Historic Site and Landmark Tours
154,Malls & Shopping Centers
155,Museums & Galleries
156,Musicals
157,National & Civic Holidays
158,Nightclubs
159,Outdoor Activities
160,Parks & Nature
161,Party Supplies and Decorations
162,Awards Shows
163,Personal Celebrations & Life Events
164,Anniversary
165,Wedding
166,Baby Shower
167,Bachelor Party
168,Bachelorette Party
169,Birth
170,Birthday
171,Funeral
172,Graduation
173,Prom
174,Political Event
175,Religious Events
176,Sporting Events
177,Theater Venues and Events
178,Zoos & Aquariums
179,Bars & Restaurants
180,Business Expos & Conferences
181,Casinos & Gambling
